File,SHA256,Scope,Unit,Assessment,Evidence
Figure_1/companion_controls/Figure_1_companion_MKI67_over_ACTB_boxplot.png,e8d59e5d7c026fc892b6a768af660b204256d4158adaeb8683df5a4f16cbf37d,expanded31 quantifiable subset,mixed sample/aggregate,Stale inputs; non-sample observations,"Matches expanded candidate; ACTB n=49, TUBB n=145"
Figure_1/companion_controls/Figure_1_companion_MKI67_over_TUBB_boxplot.png,840840ec5564ad8959d3f54fb3ee02ccae9ca5c5aa8c755a5a0c99014ee89bb7,expanded31 quantifiable subset,mixed sample/aggregate,Stale inputs; non-sample observations,"Matches expanded candidate; ACTB n=49, TUBB n=145"
Figure_1/companion_controls/Figure_1_MKI67_over_ACTB_boxplot.png,c1723b8d0e1a889ed1b0d4d896db0a9bec6b6b55a89ed346bc0366d08fd07990,baseline30 subset,mixed sample/aggregate,Stale inputs; non-sample observations,Hash provenance + source tables + PDF text + visual inspection
Figure_1/companion_controls/Figure_1_MKI67_over_TUBB_boxplot.png,7a31bee7ada5f3577155f235bbbdbff6597e79bc69d5c60dbb009aaa66569152,baseline30 subset,mixed sample/aggregate,Stale inputs; non-sample observations,Hash provenance + source tables + PDF text + visual inspection
Figure_1/Figure_1a_DDR_fraction_boxplot.png,2a05340e85508a0d181c677e9845445cd2e1e34bf7090f3f0f8c41a3ec7858fe,baseline30,210 observations: 172 sample + 38 other,Stale inputs; non-sample observations,Matches baseline candidate PNG; F=142.81; tumor n=13/6 instead of 107/12
Figure_1/Figure_1b_MKI67_over_H3C1_boxplot.png,d64a1968c1095380609147116115620a7c4d9da105de0128874530617468858c,baseline30 subset,35 observations: 34 sample + 1 aggregate,Stale inputs; non-sample observations,Matches baseline H3C1 PNG; q=3.14e-6; missing 45 ESCC ratios
Figure_2/Figure_2_DDR_pathway_summary_AEJ_barplot.png,07e629a9446794e775b9d352c4608f2091216f2024327625ad1ded47bc9141e2,baseline30,92 observations/direction: 66 sample + 26 other,Stale inputs; repeated-measures ANOVA error,Baseline candidate hash; tumor n=6 not 12; final statistics use NPoint=98
Figure_2/Figure_2_DDR_pathway_summary_BER_barplot.png,37dd4975f93f5ed3e1339de9b57b99a1619e2e63bbee291592a08a4fdbdf59a2,baseline30,92 observations/direction: 66 sample + 26 other,Stale inputs; repeated-measures ANOVA error,Baseline candidate hash; tumor n=6 not 12; final statistics use NPoint=98
Figure_2/Figure_2_DDR_pathway_summary_FA_barplot.png,fd8bf56b33539212cac0f13a46d27638197cf4c832f46981f2416065f8e33529,baseline30,92 observations/direction: 66 sample + 26 other,Stale inputs; repeated-measures ANOVA error,Baseline candidate hash; tumor n=6 not 12; final statistics use NPoint=98
Figure_2/Figure_2_DDR_pathway_summary_HR_barplot.png,71c30344a94c8a919649113b92abacbcfe9dba948b23d0b9d649c7b0054f2d27,baseline30,92 observations/direction: 66 sample + 26 other,Stale inputs; repeated-measures ANOVA error,Baseline candidate hash; tumor n=6 not 12; final statistics use NPoint=98
Figure_2/Figure_2_DDR_pathway_summary_MMR_barplot.png,afadbeb900601687973d9713abfb55f9f6e0ce549ca525c5c75460acc2dc6913,baseline30,92 observations/direction: 66 sample + 26 other,Stale inputs; repeated-measures ANOVA error,Baseline candidate hash; tumor n=6 not 12; final statistics use NPoint=98
Figure_2/Figure_2_DDR_pathway_summary_NER_barplot.png,26e8056628f2022ccde92da67787555992bd979179d4e7b056b5ec98392486c1,baseline30,92 observations/direction: 66 sample + 26 other,Stale inputs; repeated-measures ANOVA error,Baseline candidate hash; tumor n=6 not 12; final statistics use NPoint=98
