"TaskID"	"Accession"	"GroupIDs"	"SelectedSamples"	"SelectionContract"	"RawReadState"
"GEO_GSE236746"	"GSE236746"	"KLA31_01"	"GSM7574837;GSM7574838;GSM7574839"	"Non-diabetic torn rotator-cuff tendon only; do not substitute healthy tendon."	"not_downloaded: resolve selected GSM to exact runs after processed-material QC; use Ensembl/Entrez for later analysis"
"GEO_GSE181540"	"GSE181540"	"KLA31_03;KLA31_04"	"GSM5505079;GSM5505081;GSM5505083;GSM5505085;GSM5505087;GSM5505089"	"HS and paired adjacent full-thickness normal-skin input libraries only; exclude antibody-IP libraries."	"not_downloaded: resolve selected GSM to exact runs after processed-material QC; use Ensembl/Entrez for later analysis"
"GEO_GSE114691"	"GSE114691"	"KLA31_06"	"GSM3147325-GSM3147345"	"Control placenta candidate set; gestational-age and sampling-layer filters remain pending."	"not_downloaded: resolve selected GSM to exact runs after processed-material QC; use Ensembl/Entrez for later analysis"
"GEO_GSE40181"	"GSE40181"	"KLA31_07"	"GSM987942;GSM987943"	"Sperm mRNA libraries only; exclude small-RNA samples."	"not_downloaded: resolve selected GSM to exact runs after processed-material QC; use Ensembl/Entrez for later analysis"
"GEO_GSE132714"	"GSE132714"	"KLA31_08"	"GSM3890639-GSM3890656"	"BPH candidates only; clinical and transition-zone filters remain pending."	"not_downloaded: resolve selected GSM to exact runs after processed-material QC; use Ensembl/Entrez for later analysis"
"GEO_GSE163787"	"GSE163787"	"KLA31_17"	"GSM4987488;SRX9725233"	"TALL-104 bulk library only; exclude Jurkat and mouse mixture libraries."	"not_downloaded: resolve selected GSM to exact runs after processed-material QC; use Ensembl/Entrez for later analysis"
"GEO_GSE235595"	"GSE235595"	"KLA31_22"	"GSM7506018;GSM7506019;GSM7506020"	"PC-3M DMSO four-day controls only; exclude KMI169 and KMI169Ctrl."	"not_downloaded: resolve selected GSM to exact runs after processed-material QC; use Ensembl/Entrez for later analysis"
"GEO_GSE266884"	"GSE266884"	"KLA31_23"	"GSM8255530;GSM8255531"	"MES28 shMCT1 control-vector libraries only; do not merge alternative shKU70 controls automatically."	"not_downloaded: resolve selected GSM to exact runs after processed-material QC; use Ensembl/Entrez for later analysis"
"GEO_GSE203529"	"GSE203529"	"KLA31_25"	"GSM6175912"	"HEK293T wild-type untreated library only; exclude interferon and genetic perturbations."	"not_downloaded: resolve selected GSM to exact runs after processed-material QC; use Ensembl/Entrez for later analysis"
"GEO_GSE275256"	"GSE275256"	"KLA31_26"	"GSM8473662;GSM8473663;GSM8473664"	"HMC3 vehicle baseline only; exclude SLO treatment."	"not_downloaded: resolve selected GSM to exact runs after processed-material QC; use Ensembl/Entrez for later analysis"
"GEO_GSE269418"	"GSE269418"	"KLA31_27;KLA31_28"	"GSM8315283;GSM8315284;GSM8315285;GSM8315286;GSM8315297"	"HK-2 normoxia solvent controls only; shared external baseline, not a condition-matched substitute."	"not_downloaded: resolve selected GSM to exact runs after processed-material QC; use Ensembl/Entrez for later analysis"
"GEO_GSE103520"	"GSE103520"	"KLA31_29"	"GSM2773021;GSM2773022;GSM2773023"	"Untreated MCF10A only; download full expression material before accepting differential-result tables."	"not_downloaded: resolve selected GSM to exact runs after processed-material QC; use Ensembl/Entrez for later analysis"
"GEO_GSE119834"	"GSE119834"	"KLA31_30"	"GSM3384847-GSM3384855"	"NSC libraries only; retain the exact-model mismatch flag."	"not_downloaded: resolve selected GSM to exact runs after processed-material QC; use Ensembl/Entrez for later analysis"
