"PXD","SampleGroup","KlaMaterialDetail","KlaGranularity","ReferenceMaterialDetail","ReferenceGranularity","MaterialIdentityMatch","ExperimentalStateMatch","Evidence"
"PXD014870","MCF7","MCF7 breast cancer cell line","cell_line","MCF7 SIDM00148","cell_line","TRUE","baseline_reference_only","Exact cell-line identity; independent ordinary-proteome atlas"
"PXD028488","HEK293T","HEK293T cells","cell_line","Control_HEK293T_lys","cell_line","TRUE","baseline_reference_only","Exact cell-line identity; standard QC material excluded"
"PXD028488","HCT116","HCT116 cells","cell_line","HCT-116 SIDM00783","cell_line","TRUE","baseline_reference_only","Exact cell-line identity; independent ordinary-proteome atlas"
"PXD028488","TALL-104","TALL-104 cells","cell_line","TALL-104 non-enrichment Sample 1 to 3","cell_line","TRUE","same_study_matched_material","Same PXD and same TALL-104 material; non-enriched ordinary-proteome PEAKS tables"
"PXD028737","HMC3","HMC3 H0 and H24 cells","cell_line","HMC3 H0 and H24","cell_line","TRUE","same_study_matched_conditions","Same PXD; H0 and H24 LFQ columns are retained separately before summarization"
"PXD033146","pathological rotator cuff tendon","Pathological rotator-cuff tendon","tissue_unspecified_subregion","Matched HA119TQ pathological tendon samples","tissue_unspecified_subregion","TRUE","same_study_matched_samples","Same-study ordinary proteinGroups from the matched pathological tendon material"
"PXD036307","normal human lung","Normal human lung; no lobe or subregion specified","whole_organ_unspecified_subregion","Healthy human lung; no lobe or subregion specified","whole_organ_unspecified_subregion","TRUE","independent_cohort_same_phenotype","Both sources are normal whole-lung material with no finer anatomical claim"
"PXD046800","hypertrophic scar","Hypertrophic scar tissue HSP1 to HSP4","tissue_sample_group","Hypertrophic scar HSP1 to HSP4","tissue_sample_group","TRUE","same_study_matched_samples","Only HSP1 to HSP4 columns are read; adjacent-skin NSP columns are excluded"
"PXD046800","adjacent skin","Adjacent skin NSP1 to NSP4","adjacent_tissue_sample_group","Adjacent skin NSP1 to NSP4","adjacent_tissue_sample_group","TRUE","same_study_matched_samples","Only NSP1 to NSP4 columns are read; scar HSP columns are excluded"
"PXD050147","HepG2 WT and SIRT1 or SIRT3 KO","HepG2 WT and SIRT1 or SIRT3 KO","cell_line_with_genotypes","HepG2 SIRT proteinGroups background","cell_line_with_genotypes","TRUE","same_study_states_present_method_pending","Same-study protein background; non-PTM method attribution remains explicitly flagged"
"PXD050470","human hippocampus","Human hippocampus H072 H081 H0187","same_biospecimens","Human hippocampus H072 H081 H0187 Table S4","same_biospecimens","TRUE","exact_same_samples","Same publication and same three sample IDs; direct UniProt accessions; previous CA1 substitution retired"
"PXD053474","HCT116","HCT116 cells","cell_line","HCT-116 SIDM00783","cell_line","TRUE","baseline_reference_only","Exact cell-line identity; independent ordinary-proteome atlas"
"PXD054919","A549","A549 cells","cell_line","A549 SIDM00903","cell_line","TRUE","baseline_reference_only","Exact cell-line identity; independent ordinary-proteome atlas"
"PXD055230","human fibroblasts mock and HCMV or HSV-1","Primary human fibroblasts mock HCMV HSV-1","primary_cell_culture_with_conditions","Matched fibroblast whole-proteome mock and infection reports","primary_cell_culture_with_conditions","TRUE","same_study_matched_conditions","Same-study ordinary whole-proteome reports with matched infection labels"
"PXD057709","human fibroblasts mock and HCMV","Primary human fibroblasts mock and HCMV","primary_cell_culture_with_conditions","Matched fibroblast WP report","primary_cell_culture_with_conditions","TRUE","same_study_matched_conditions","Same publication family and matched ordinary whole-proteome report"
"PXD058534","pretreated HK-2","Pretreated HK-2 cells","cell_line_with_treatment","Untreated HK-2 amostra1 amostra3 amostra4","cell_line_baseline","TRUE","baseline_reference_only","Exact HK-2 identity but pretreatment is not represented in the reference"
"PXD060185","MCF10A","MCF10A cells","cell_line","MCF-10A baseline","cell_line","TRUE","baseline_reference_only","Exact cell-line identity; independent ordinary proteome"
"PXD060185","MCF7","MCF7 cells","cell_line","MCF7 SIDM00148","cell_line","TRUE","baseline_reference_only","Exact cell-line identity; independent ordinary-proteome atlas"
"PXD060185","MDA-MB-468","MDA-MB-468 cells","cell_line","MDA-MB-468 SIDM00628","cell_line","TRUE","baseline_reference_only","Exact cell-line identity; independent ordinary-proteome atlas"
"PXD060185","T-47D","T-47D cells","cell_line","T47D SIDM00097","cell_line","TRUE","baseline_reference_only","Exact cell-line identity; independent ordinary-proteome atlas"
"PXD063047","normal pregnancy placenta","Normal-pregnancy placenta","whole_organ_unspecified_subregion","Healthy placenta","whole_organ_unspecified_subregion","TRUE","independent_cohort_same_phenotype","Both sources are normal placenta with no finer placental-region claim"
