"GroupID","RowOrder","PXD","SampleGroup","Category","Source","ReferenceKey","SampleSelection","EvidenceStatus","AssayAndUnits","Limitations","EvidenceURL","AnalysisReady","PriorSource","ReviewDate","InclusionBasis","TeacherColor","TeacherMeaning","SelectedUnitsN","ObservationUnit","ReplicateAssessment","ReviewAction","PrimaryErrorBarEligible","ProposedReplacementSource","ProposedReplacementSamples","ProposedReplacementStatus"
"KLA31_01",1,"PXD033146","pathological rotator cuff tendon","normal_tissue","GSE236746","torn_tendon_nondiabetic","GSM7574837;GSM7574838;GSM7574839","material_verified","human bulk RNA-seq; released transcript-level ENST FPKM; selected FASTQ retained for gene-level reprocessing","Non-diabetic torn rotator-cuff tendon only. The GEO matrix is transcript-level FPKM and must not be summed as gene FPKM; use the selected FASTQ files and one declared gene-level pipeline. Do not substitute healthy tendon.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236746",FALSE,"GSE236746","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","green","passed by teacher",3,"selected GEO sample; biological independence must be confirmed","nominal n>=3; verify independent units","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_02",2,"PXD036307","normal human lung","normal_tissue","GTEx_v8","GTEx_v8_Lung","Lung; sample IDs pending","cohort_candidate","bulk polyA; counts/TPM","固定v8及样本属性；供体排除标准和最终n待核对，不能声称全部健康无创伤。","https://gtexportal.org/home/downloads/adult-gtex/bulk_tissue_expression",FALSE,"GTEx_v8","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","green","passed by teacher",,"independent donor/case after clinical filtering and aliquot deduplication","sample lock pending","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_03",3,"PXD046800","hypertrophic scar","normal_tissue","GSE181540","GSE181540_HS_input","GSM5505079;GSM5505081;GSM5505083","material_verified","rRNA-depleted total RNA input; no IP; PE150; reported Ensembl count columns and FPKM; hg19 annotation","Paper confirms paired HS and adjacent full-thickness skin. Include only input libraries (antibody none), exclude all IP. GEO library_strategy RIP-Seq conflicts with input protocol; document exception. Paper Gallus-gallus alignment sentence conflicts with GEO human hg19; verify actual reads/alignment and complete matrix before analysis.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181540;https://doi.org/10.3389/fcell.2021.748703",FALSE,"GSE178411","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","yellow","condition uncertain",3,"selected GEO sample; biological independence must be confirmed","nominal n>=3; verify independent units","input has no RIP antibody; exclude IP/peak tables; retain annotation/paper contradiction for review",FALSE,"","",""
"KLA31_04",4,"PXD046800","adjacent skin","normal_tissue","GSE181540","GSE181540_adjacent_NS_input","GSM5505085;GSM5505087;GSM5505089","material_verified","rRNA-depleted total RNA input; no IP; PE150; reported Ensembl count columns and FPKM; hg19 annotation","Paper confirms paired HS and adjacent full-thickness skin. Include only input libraries (antibody none), exclude all IP. GEO library_strategy RIP-Seq conflicts with input protocol; document exception. Paper Gallus-gallus alignment sentence conflicts with GEO human hg19; verify actual reads/alignment and complete matrix before analysis.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181540;https://doi.org/10.3389/fcell.2021.748703",FALSE,"GSE178411","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","yellow","condition uncertain",3,"selected GEO sample; biological independence must be confirmed","nominal n>=3; verify independent units","input has no RIP antibody; exclude IP/peak tables; retain annotation/paper contradiction for review",FALSE,"","",""
"KLA31_05",5,"PXD050470","human hippocampus","normal_tissue","GTEx_v8","GTEx_v8_Hippocampus","Brain - Hippocampus; sample IDs pending","cohort_candidate","bulk polyA; counts/TPM","固定v8；核对年龄、死亡和神经疾病排除条件；不沿用197例声明。","https://gtexportal.org/home/downloads/adult-gtex/bulk_tissue_expression",FALSE,"GTEx_v8","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","green","passed by teacher",,"independent donor/case after clinical filtering and aliquot deduplication","sample lock pending","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_06",6,"PXD063047","normal pregnancy placenta","normal_tissue","GSE114691","GSE114691_control_placenta","GSM3147325-GSM3147345; gestational-age filter pending","material_verified","human bulk; count matrix; hg19","21个control为初始候选，不等于21个足月；核对孕周、产式和胎盘取材层；排除PE/IUGR。","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114691",FALSE,"GSE114691","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","green","passed by teacher",21,"selected GEO sample; biological independence must be confirmed","nominal n>=3; verify independent units","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_07",7,"PXD064912","human sperm","normal_tissue","GSE40181","GSE40181_sperm_mRNA","GSM987942;GSM987943","material_verified","human bulk mRNA; RPKM; raw SRA","仅两个供体mRNA库；排除smallRNA GSM987944/45；处理表有RPKM阈值，建议原始reads重定量并检查精子纯度。","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40181",FALSE,"GSE40181","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","green","passed by teacher",2,"two donors; five runs do not increase donor n","below preferred n=3","below preferred n=3; descriptive fallback only while seeking independent matched replicates",FALSE,"","",""
"KLA31_08",8,"PXD066054","BPH","normal_tissue","GSE132714","GSE132714_BPH","GSM3890639-GSM3890656; all 18 BPH transition-zone samples; clinical covariates pending","material_verified","human bulk polyA/riboZero; source per-sample RPKM with versioned Ensembl IDs","The GEO archive contains all 18 BPH samples as per-sample Ensembl RPKM files. Retain source-native RPKM rather than inventing counts; audit treatment and clinical covariates before any model.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132714",FALSE,"GSE132714","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","green","passed by teacher",18,"selected GEO sample; biological independence must be confirmed","nominal n>=3; verify independent units","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_09",9,"PXD075377","adjacent liver","normal_tissue","TCGA-LIHC","TCGA_LIHC_normal","Solid Tissue Normal; donor/file UUID pending","cohort_candidate","GDC bulk RNA; STAR counts/TPM","癌旁独立队列；不是GTEx健康肝；与HCC参考可配对需以caseID确认；去除重复aliquot。","https://portal.gdc.cancer.gov/projects/TCGA-LIHC",FALSE,"TCGA-LIHC","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","unmarked","not opened by teacher",,"independent donor/case after clinical filtering and aliquot deduplication","sample lock pending","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_10",10,"PXD064038","MEC and NEC ESCC groups","cancer_tissue","TCGA-ESCA","TCGA_ESCA_ESCC","Primary Tumor AND squamous histology; UUID pending","cohort_candidate","GDC bulk RNA; STAR counts/TPM","只保留ESCC而非EAC；MEC/NEC状态并未匹配；需实际临床治疗字段，不用01A推断未经治疗。","https://portal.gdc.cancer.gov/projects/TCGA-ESCA",FALSE,"TCGA-ESCA","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","unmarked","not opened by teacher",,"independent donor/case after clinical filtering and aliquot deduplication","sample lock pending","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
