File,Pass,Review
outputs/20260919_repair_release/core/Figure_1a_RNA_DDR_and_lactylated_gene_expression_28materials_boxplot.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/core/Figure_1a_RNA_DDR_expression_28materials_boxplot.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/core/Figure_1a_RNA_DDR_expression_by_tissue_barplot.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/core/Figure_1a_RNA_DDR_expression_by_tissue_boxplot.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/core/Figure_1a_RNA_DDR_fraction_28materials_boxplot.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/core/Figure_1a_RNA_lactylated_gene_expression_by_tissue_barplot.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/core/Figure_1a_RNA_lactylated_gene_expression_by_tissue_boxplot.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/core/Figure_1b_RNA_proliferation_hallmark_28materials_boxplot.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/core/Figure_1b_RNA_proliferation_hallmark_by_tissue_barplot.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/core/Figure_1b_RNA_proliferation_hallmark_by_tissue_boxplot.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/core/Figure_3c_RNA_regulator_qsmooth_heatmap.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/core/Figure_3c_RNA_regulator_qsmooth_heatmap_no_frame.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/core/Figure_3c_RNA_regulator_qsmooth_zscore_heatmap.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/core/Figure_3c_RNA_regulator_qsmooth_zscore_heatmap_no_frame.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/reference/RNA_1_DDR_panel_expression_31groups.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/reference/RNA_2_lactylome_transcriptome_coupling.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/reference/RNA_2a_three_source_joint.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
outputs/20260919_repair_release/reference/RNA_2b_detection_by_transcript_level.pdf,TRUE,"Rendered PDF reviewed; labels, category order, legends and complete panels checked; matched PNG present. 2026-09-20."
