Model,selected_lambda,Feature,Coefficient,ConnGroup
MP_cal,1,(Intercept),-0.43424802335887,1
MP_cal,1,z_mp,1.01801837105814,1
ME,1,(Intercept),-0.388355481135195,1
ME,1,z_target_expr,0.261730983185808,1
ME2,1,(Intercept),-0.374640673519958,1
ME2,1,z_target_expr,0.308472052027712,1
ME2,1,z_mod,-0.133638791913356,1
ME_P,1,(Intercept),-0.429898814783333,1
ME_P,1,z_target_expr,0.150503525225617,1
ME_P,1,z_mp,0.999652954172642,1
ME2P,1,(Intercept),-0.417687627962615,1
ME2P,1,z_target_expr,0.187649643997269,1
ME2P,1,z_mod,-0.105655721229772,1
ME2P,1,z_mp,0.996531847032444,1
XEN,1,(Intercept),-0.398203734031534,1
XEN,1,z_target_expr,0.316985510974188,1
XEN,1,z_mod,-0.142847869876899,1
XEN,1,z_ix,0.069820780112313,1
MP_cal,1,(Intercept),-0.387630428560981,2
MP_cal,1,z_mp,1.03479645774486,2
ME,1,(Intercept),-0.343466835306222,2
ME,1,z_target_expr,0.237159625210041,2
ME2,1,(Intercept),-0.331784146532576,2
ME2,1,z_target_expr,0.280156857767282,2
ME2,1,z_mod,-0.120369201416409,2
ME_P,1,(Intercept),-0.383813872749575,2
ME_P,1,z_target_expr,0.137513520738215,2
ME_P,1,z_mp,1.01977529439435,2
ME2P,1,(Intercept),-0.373288476258829,2
ME2P,1,z_target_expr,0.172038587607918,2
ME2P,1,z_mod,-0.0962023435966297,2
ME2P,1,z_mp,1.01733433002435,2
XEN,1,(Intercept),-0.348302094930462,2
XEN,1,z_target_expr,0.286467615906375,2
XEN,1,z_mod,-0.125941993463191,2
XEN,1,z_ix,0.0474375225920153,2
MP_cal,1,(Intercept),-0.449445304894801,3
MP_cal,1,z_mp,1.04768144206657,3
ME,1,(Intercept),-0.399019832967882,3
ME,1,z_target_expr,0.262736071135183,3
ME2,1,(Intercept),-0.387183647009626,3
ME2,1,z_target_expr,0.312244623113612,3
ME2,1,z_mod,-0.143021515006119,3
ME_P,1,(Intercept),-0.449687367957048,3
ME_P,1,z_target_expr,0.157074502305099,3
ME_P,1,z_mp,1.0302690338182,3
ME2P,1,(Intercept),-0.438207277394844,3
ME2P,1,z_target_expr,0.19869245902559,3
ME2P,1,z_mod,-0.120045635192294,3
ME2P,1,z_mp,1.02767701410693,3
XEN,1,(Intercept),-0.41188210203077,3
XEN,1,z_target_expr,0.321289593199096,3
XEN,1,z_mod,-0.155640502097755,3
XEN,1,z_ix,0.0725385607581515,3
MP_cal,1,(Intercept),-0.424296476913135,4
MP_cal,1,z_mp,1.06075365098746,4
ME,1,(Intercept),-0.378817429355076,4
ME,1,z_target_expr,0.250030021403053,4
ME2,1,(Intercept),-0.365465703419802,4
ME2,1,z_target_expr,0.299597542528761,4
ME2,1,z_mod,-0.14398178232732,4
ME_P,1,(Intercept),-0.41876224222568,4
ME_P,1,z_target_expr,0.127413420707187,4
ME_P,1,z_mp,1.04410485461717,4
ME2P,1,(Intercept),-0.406105315797534,4
ME2P,1,z_target_expr,0.168892442339369,4
ME2P,1,z_mod,-0.119780843095564,4
ME2P,1,z_mp,1.04121634188829,4
XEN,1,(Intercept),-0.39036679466259,4
XEN,1,z_target_expr,0.310175711828357,4
XEN,1,z_mod,-0.15154932997787,4
XEN,1,z_ix,0.0733738046963455,4
MP_cal,1,(Intercept),-0.390875823429382,5
MP_cal,1,z_mp,1.07405730082914,5
ME,1,(Intercept),-0.348072184473611,5
ME,1,z_target_expr,0.232417391083915,5
ME2,1,(Intercept),-0.333817812578473,5
ME2,1,z_target_expr,0.283907214241309,5
ME2,1,z_mod,-0.148442140501964,5
ME_P,1,(Intercept),-0.386734506352574,5
ME_P,1,z_target_expr,0.120834583593644,5
ME_P,1,z_mp,1.05983121899835,5
ME2P,1,(Intercept),-0.37264939164597,5
ME2P,1,z_target_expr,0.166004010534957,5
ME2P,1,z_mod,-0.129721519932237,5
ME2P,1,z_mp,1.05744456746221,5
XEN,1,(Intercept),-0.356017697632388,5
XEN,1,z_target_expr,0.293107915775508,5
XEN,1,z_mod,-0.154845918768819,5
XEN,1,z_ix,0.0648762121706351,5
MP_cal,1,(Intercept),-0.370537790786746,6
MP_cal,1,z_mp,1.08933356324714,6
ME,1,(Intercept),-0.333727629007531,6
ME,1,z_target_expr,0.19063709725812,6
ME2,1,(Intercept),-0.310707415555346,6
ME2,1,z_target_expr,0.258383753733564,6
ME2,1,z_mod,-0.226165329999005,6
ME_P,1,(Intercept),-0.36820246853989,6
ME_P,1,z_target_expr,0.0667566052321223,6
ME_P,1,z_mp,1.08082119878084,6
ME2P,1,(Intercept),-0.342304974871652,6
ME2P,1,z_target_expr,0.135577014066988,6
