RowOrder,PXD,SampleGroup,KlaSampleCount,KlaSampleIDs,ReferencePXD,ReferenceSampleCount,ReferenceSampleIDs,CountingBasis,Notes
1,PXD033146,pathological rotator cuff tendon,3,RCT1;RCT2;RCT3,PXD033146,3,RCT1;RCT2;RCT3,biological samples,NC1-NC3 are a separate normal-control arm and are not part of this pathological-tendon row; TMT reporter channels are not counted as extra samples.
2,PXD036307,normal human lung,6,PTB340;PTB342;PTB344;PTB346;PTB364;PTB372,PXD010154,1,P013163,biological donors versus one whole-lung profile,"The reference file is one healthy whole-lung profile with fraction columns, not multiple biological samples."
3,PXD046800,hypertrophic scar,4,HSP1;HSP2;HSP3;HSP4,PXD046800,4,HSP1;HSP2;HSP3;HSP4,biological samples,Proteome Discoverer sample columns HSP1-HSP4.
4,PXD046800,adjacent skin,4,NSP1;NSP2;NSP3;NSP4,PXD046800,4,NSP1;NSP2;NSP3;NSP4,biological samples,Proteome Discoverer sample columns NSP1-NSP4.
5,PXD050470,human hippocampus,3,H072;H081;H187,PXD050470,3,H072;H081;H187,biological samples,Three hippocampus samples in the paired intensity tables.
6,PXD063047,normal pregnancy placenta,3,Con_1;Con_2;Con_3,PXD010154,1,P013680,biological samples versus one placenta profile,PE_1-PE_3 belong to a different disease group and are outside the 30-group scope; the reference is one healthy placenta profile.
7,PXD064912,human sperm,3,Rep 1;Rep 2;Rep 3,PXD066517,33,L1-L17;N1-N16,biological samples,The reference table contains 17 L samples and 16 N samples; all 33 source samples are retained.
8,PXD066054,BPH,5,NAT1;NAT2;NAT3;NAT4;NAT5,PXD066054,5,NAT1;NAT2;NAT3;NAT4;NAT5,biological samples,Matched NAT1-NAT5 sample columns.
9,PXD075377,adjacent liver,1,Control_pool,PXD065775,8,ANTs: Non-rec1-Non-rec4;Rec1-Rec4,single-patient iTRAQ channel versus reference cohort,The Kla source is one pooled iTRAQ Control channel; the reference ANTs sheet has eight source channels.
10,PXD064038,MEC and NEC ESCC groups,6,MEC_1;MEC_2;MEC_3;NEC_1;NEC_2;NEC_3,PXD065830,94,ESCC-001T;ESCC-002T;ESCC-006T;ESCC-009T;ESCC-010T;ESCC-019T;ESCC-035T;ESCC-040T;ESCC-041T;ESCC-044T;ESCC-049T;ESCC-017T;ESCC-055T;ESCC-057T;ESCC-059T;ESCC-063T;ESCC-065T;ESCC-066T;ESCC-082T;ESCC-086T;ESCC-075T;ESCC-078T;ESCC-092T;ESCC-069T;ESCC-072T;ESCC-003T;ESCC-004T;ESCC-005T;ESCC-011T;ESCC-013T;ESCC-020T;ESCC-029T;ESCC-032T;ESCC-037T;ESCC-024T;ESCC-028T;ESCC-043T;ESCC-046T;ESCC-050T;ESCC-051T;ESCC-007T;ESCC-018T;ESCC-021T;ESCC-027T;ESCC-052T;ESCC-056T;ESCC-061T;ESCC-062T;ESCC-053T;ESCC-058T;ESCC-068T;ESCC-074T;ESCC-083T;ESCC-084T;ESCC-090T;ESCC-080T;ESCC-091T;ESCC-094T;ESCC-067T;ESCC-076T;ESCC-087T;ESCC-008T;ESCC-015T;ESCC-016T;ESCC-023T;ESCC-031T;ESCC-033T;ESCC-036T;ESCC-042T;ESCC-034T;ESCC-038T;ESCC-039T;ESCC-045T;ESCC-022T;ESCC-026T;ESCC-012T;ESCC-014T;ESCC-025T;ESCC-030T;ESCC-047T;ESCC-054T;ESCC-048T;ESCC-060T;ESCC-064T;ESCC-079T;ESCC-088T;ESCC-089T;ESCC-077T;ESCC-081T;ESCC-093T;ESCC-070T;ESCC-071T;ESCC-073T;ESCC-085T,six deposited Kla observations plus 94 external ESCC-T whole-proteome observations,"All 94 PXD065830 Dataset1 ESCC-T source columns are plotted individually; the 24 N non-tumor columns are excluded. They are independent ESCC tumor observations, not matched to the six PXD064038 Kla samples."
