"GroupIDs","ReferenceKey","GroupLabel","Category","SourceKind","SourcePath","SelectorType","SelectorValue","RunGroups","ExpectedN","SelectionNote"
"KLA31_01","tendon_nondiabetic","pathological rotator cuff tendon","normal_tissue","ncbi_counts","raw/ncbi_counts_20260915/GSE236746_raw_counts_GRCh38.p13_NCBI.tsv.gz","gsm","GSM7574837;GSM7574838;GSM7574839","",3,"Non-diabetic torn rotator-cuff tendon, not healthy tendon."
"KLA31_02","GTEx_v8_Lung","normal human lung","normal_tissue","gtex_v8","raw/gtex_v8","gtex_tissue","Lung","",578,"All GTEx v8 Lung samples. GTEx donors are not certified healthy: no cause-of-death or trauma exclusion could be verified, so no health claim is made."
"KLA31_03","GSE181540_HS_input","hypertrophic scar","normal_tissue","xlsx_fpkm","raw/geo/GSE181540/supplement/GSE181540_mRNA_Expression_Profiling.xlsx","column","SC1.Input_FPKM;SC2.Input_FPKM;SC3.Input_FPKM","",3,"Input libraries only (no RIP antibody); IP libraries excluded."
"KLA31_04","GSE181540_adjacent_NS_input","adjacent skin","normal_tissue","xlsx_fpkm","raw/geo/GSE181540/supplement/GSE181540_mRNA_Expression_Profiling.xlsx","column","SK1.Input_FPKM;SK2.Input_FPKM;SK3.Input_FPKM","",3,"Paired adjacent full-thickness skin input libraries only."
"KLA31_05","GTEx_v8_Hippocampus","human hippocampus","normal_tissue","gtex_v8","raw/gtex_v8","gtex_tissue","Brain - Hippocampus","",197,"All GTEx v8 Brain - Hippocampus samples. Neurological-disease exclusion could not be verified from the public release. ExpectedN corrected from historical 200 to 197 matrix-available samples; selector unchanged (2026-09-19)."
"KLA31_06","GSE114691_control_placenta","normal pregnancy placenta","normal_tissue","transcript_counts","raw/geo/GSE114691/supplement/GSE114691_MasterCount_ControlONLY.txt.gz","patient_id","X403.10;PE12.03;X383.10;PE13.20;X328.08;PE12.08;PE13.27;X399.10;X338.08;X401.10;X400.10;X550;PE14.19;PE14.33;PE14.22;PE13.31;X293.06;X279.06;PE13.16;X267.05;PE15.26","",21,"All 21 control-group placentas from the ControlONLY master count file. Gestational age and singleton status are absent from the GEO record, so a term-singleton filter could not be applied and is not claimed. Columns were matched to GSMs through !Sample_description patient identifiers, not by position."
"KLA31_07","sperm_GroupI","human sperm","normal_tissue","ncbi_counts","raw/ncbi_counts_20260915/GSE65683_raw_counts_GRCh38.p13_NCBI.tsv.gz","gsm","GSM1602978;GSM1602981;GSM1602982;GSM1602983","",4,"Small-RNA libraries GSM987944/45 excluded; Group I birth-outcome reference."
"KLA31_08","GSE132714_BPH","BPH","normal_tissue","per_sample_rpkm","raw/geo/GSE132714/supplement/GSE132714_RAW.tar","member","GSM3890639;GSM3890640;GSM3890641;GSM3890642;GSM3890643;GSM3890644;GSM3890645;GSM3890646;GSM3890647;GSM3890648;GSM3890649;GSM3890650;GSM3890651;GSM3890652;GSM3890653;GSM3890654;GSM3890655;GSM3890656","",18,"All 18 transition-zone BPH samples; the 4 control samples GSM3890657-660 are excluded. CAVEAT: every donor is recorded as taking a 5-alpha-reductase inhibitor (5ARI=Y in the clinical table) and most take an alpha-blocker; this is background clinical medication, not an experimental arm, but it is a real expression confounder. Source values are RPKM-only, Combat batch-corrected upstream, hg19."
"KLA31_09","TCGA_LIHC_normal","adjacent liver","normal_tissue","gdc_star","raw/gdc_star_counts","gdc_cohort","TCGA_LIHC_adjacent_liver","",50,"TCGA-LIHC Solid Tissue Normal (cancer-adjacent). Not healthy liver and not GTEx liver."
"KLA31_10","TCGA_ESCA_ESCC","MEC and NEC ESCC groups","cancer_tissue","gdc_star","raw/gdc_star_counts","gdc_cohort","TCGA_ESCA_ESCC_primary","",95,"Primary tumour with squamous histology only; EAC excluded."
"KLA31_11","TCGA_PRAD_primary","prostate cancer","cancer_tissue","gdc_star","raw/gdc_star_counts","gdc_cohort","TCGA_PRAD_primary","",501,"Primary tumour only."
"KLA31_12","TCGA_LIHC_primary","HCC","cancer_tissue","gdc_star","raw/gdc_star_counts","gdc_cohort","TCGA_LIHC_HCC_primary","",371,"Primary tumour only; not the same subjects as the project proteome."
"KLA31_13","MCF7_DMSO7d","MCF7","cancer_cells","ncbi_counts","raw/ncbi_counts_20260915/GSE157383_raw_counts_GRCh38.p13_NCBI.tsv.gz","gsm","GSM4763907;GSM4763908;GSM4763909","",3,"DMSO 7-day vehicle baseline, no drug or genetic perturbation."
"KLA31_14","HCT116_control","HCT116","cancer_cells","single_ensembl_counts","raw/replicate_replacements/GSE253699/GSE253699_raw_counts.txt.gz","column","HCT_NC_1;HCT_NC_2;HCT_NC_3","",3,"Negative-control arm; FSTL3 and co-culture arms excluded."
"KLA31_15","HCT116_control","HCT116","cancer_cells","single_ensembl_counts","raw/replicate_replacements/GSE253699/GSE253699_raw_counts.txt.gz","column","HCT_NC_1;HCT_NC_2;HCT_NC_3","",3,"Same external baseline as KLA31_14; not an independent transcriptome."
"KLA31_16","HCT116_control","HCT116 control and Roseburia co-culture","cancer_cells","single_ensembl_counts","raw/replicate_replacements/GSE253699/GSE253699_raw_counts.txt.gz","column","HCT_NC_1;HCT_NC_2;HCT_NC_3","",3,"Represents the external baseline only; the Roseburia co-culture condition is not represented by these samples."
