PXD,ScopeOverride,SampleMaterial,TissueOrCellType,HealthContext,NormalTissueCategory,PriorityTier,StudyFamily,CurationNote
PXD014870,global_lactylome,cell_line,MCF7,breast_cancer,not_normal,1,cyclic_immonium_widespread_lactylation,2019 source data reanalyzed in the 2022 Nature Methods study
PXD028488,global_lactylome,mixed_cell_lines,HEK293T;HCT116;TALL-104,mixed_normal_like_and_cancer,contains_normal_like_cell_line,1,cyclic_immonium_widespread_lactylation,Human directories must be separated from BV2 and RAW mouse directories
PXD036307,global_lactylome,normal_tissue,human_lung,normal_physiological,physiological_normal_tissue,1,normal_human_lung_lactylome,Highest-priority omitted normal tissue dataset; six donors with fractionated and unfractionated runs
PXD038880,global_lactylome,cell_line,AGS,gastric_cancer_parental_and_cisplatin_resistant,not_normal,hold,nbs1_ags_cisplatin_resistance,iProX record is incomplete and mirrors PXD050906; keep excluded pending teacher review
PXD050906,global_lactylome,cell_line,AGS,gastric_cancer_parental_and_cisplatin_resistant,not_normal,hold,nbs1_ags_cisplatin_resistance,PRIDE mirror of PXD038880; keep excluded pending teacher review
PXD050470,global_lactylome,normal_tissue,human_hippocampus,normal_physiological,physiological_normal_tissue,1,human_hippocampus_lactylome,Already included in the current pipeline
PXD053474,global_lactylome,cell_line,HCT116,colorectal_cancer,not_normal,1,hct116_subcellular_lactylome,Already included; four DDA and DIA search suites plus supplementary table
PXD054919,global_lactylome,cell_line,A549,lung_adenocarcinoma,not_normal,1,hat1_rpa1_lung_adenocarcinoma,Repository Results.zip is checksum-valid but entirely zero-filled; Supplementary Table 1 contains 3110 Kla sites on 1220 proteins
PXD055230,global_lactylome,primary_cell_culture,human_fibroblasts,virus_infection_with_mock_control,normal_cell_control,2,herpesvirus_lactylation,Global HCMV and HSV-1 infection study with uninfected controls
PXD057709,global_lactylome,primary_cell_culture,human_fibroblasts,HCMV_infection_with_control,normal_cell_control,2,herpesvirus_lactylation,Same publication family as PXD055230; treat as a component dataset rather than an independent cohort
PXD060185,global_lactylome,mixed_cell_lines,MCF10A;MCF7;MDA-MB-468;T-47D,mixed_normal_like_and_cancer,contains_normal_like_cell_line,1,breast_cancer_lactylome,Already included in the current pipeline
PXD063047,global_lactylome,mixed_tissues,placenta,severe_preeclampsia_and_normal_pregnancy,includes_healthy_control_tissue,1,placenta_preeclampsia_lactylome,Three severe preeclampsia and three normal pregnancy placentas with proteome and lactylome
PXD063945,global_lactylome,clinical_tissue,esophagus,esophageal_squamous_cell_carcinoma_neoadjuvant_therapy,not_normal_or_requires_paper_review,2,escc_neoadjuvant_lactylome,Large clinical dataset; verify paired normal tissue and treatment design from the article
PXD064912,global_lactylome,normal_biospecimen,human_sperm,apparently_healthy_donors,normal_human_biospecimen,1,human_sperm_lactylome,Three human sperm samples; publication and processed Spectronaut file are available
PXD066054,global_lactylome,mixed_tissues,prostate,prostate_cancer_and_benign_prostatic_hyperplasia,benign_disease_control_not_healthy,1,prostate_cancer_bph_lactylome,Five prostate cancer and five BPH tissues; BPH must not be labeled healthy normal
PXD070007,global_lactylome,mixed_cell_cultures,glioblastoma_stem_cells;neural_stem_cells,cancer_and_normal_stem_cell_models,contains_normal_cell_model,2,gsc_nsc_lactylome,Six glioblastoma stem-cell and two neural stem-cell samples
PXD073311,global_lactylome,primary_cell_culture,HUVEC,Porphyromonas_gingivalis_infection_with_control,normal_cell_control,2,huvec_infection_lactylome,Global HUVEC lactylome with infection and control conditions
PXD075377,global_lactylome,mixed_tissues,liver,hepatocellular_carcinoma_and_adjacent_tissue,adjacent_normal_not_healthy,1,hcc_adjacent_lactylome,One paired patient; adjacent tissue must not be labeled healthy normal
PXD078013,global_lactylome,cell_line,RKO,colorectal_cancer_GSK3B_WT_KO,not_normal,1,rko_gsk3b_lactylome,Already included in the current pipeline
PXD078736,global_lactylome,cell_line,HK-2,renal_epithelial_model_ctrl_and_experimental,normal_like_immortalized_cell_line,1,hk2_aki_ckd_lactylome,Already included in the current pipeline
PXD033146,global_lactylome,diseased_tissue,rotator_cuff_tendon,rotator_cuff_tendinopathy,diseased_tissue_not_normal,2,rotator_cuff_lactylome,Pathological tendon tissue; do not use as a healthy normal tissue reference
PXD037530,global_lactylome,diseased_tissue,liver,cirrhosis_before_and_after_MSC_treatment,diseased_tissue_not_normal,2,cirrhosis_msc_lactylome,Self-controlled cirrhosis tissue study; no healthy tissue arm
PXD047535,global_lactylome,cell_line_or_tumor_model,oral_squamous_cell_carcinoma,oral_cancer,not_normal,2,oral_carcinoma_lactylome,Potential duplicate or mirror of PXD047673; compare files before combining
PXD047673,global_lactylome,cell_line_or_tumor_model,oral_carcinoma,oral_cancer,not_normal,2,oral_carcinoma_lactylome,Potential duplicate or mirror of PXD047535; compare files before combining
PXD058534,global_lactylome,cell_line,HK-2,pretreated_renal_tubular_epithelial_cells,normal_like_immortalized_cell_line,2,hk2_pretreated_lactylome,One raw file and one search result; exact pretreatment requires publication or submitter metadata
PXD063266,global_lactylome,cell_line,prostate_cancer_cells,prostate_cancer,not_normal,2,prostate_cancer_cell_lactylome,Global prostate cancer cell lactylome
PXD037371,global_lactylome,clinical_tissue,liver,hepatocellular_carcinoma,not_normal_or_requires_paper_review,2,hcc_lactylome,Verify whether adjacent or healthy controls are present before normal-tissue use
