Pathway,PathwayOrder,SeedGOID,IncludeDescendants,RuleLabel,Rationale
BER,1,GO:0006284,TRUE,BER process,"Base-excision repair and its GO descendants."
BER,1,GO:0000012,TRUE,Single-strand break repair,"Single-strand break repair is retained in the BER/SSBR branch for this seven-pathway scheme."
BER,1,GO:0019104,TRUE,DNA N-glycosylase activity,"Lesion-removing DNA glycosylases initiate BER."
BER,1,GO:0003906,TRUE,AP endonuclease activity,"AP-site endonucleases process BER intermediates."
BER,1,GO:0051575,TRUE,5-prime dRP lyase activity,"5-prime deoxyribose-phosphate lyase activity processes BER intermediates."
BER,1,GO:0070421,FALSE,DNA ligase III-XRCC1 complex,"The GO definition explicitly states that the DNA ligase III-XRCC1 complex is involved in BER."
NER,2,GO:0006289,TRUE,NER process,"Nucleotide-excision repair and its GO descendants."
NER,2,GO:2000819,TRUE,NER regulation,"Regulation of nucleotide-excision repair and its GO descendants."
NER,2,GO:0000109,TRUE,NER complex,"Nucleotide-excision repair complexes and their GO descendants."
NER,2,GO:0006290,TRUE,Pyrimidine-dimer repair,"In human cells pyrimidine-dimer repair is assigned to NER in this seven-pathway scheme."
NER,2,GO:0070914,TRUE,UV-damage excision repair,"UV-damage excision repair and its GO descendants are assigned to NER."
NER,2,GO:0033892,TRUE,Pyrimidine-dimer nuclease activity,"Pyrimidine-dimer excision nuclease activity is assigned to NER."
MMR,3,GO:0006298,TRUE,MMR process,"Mismatch repair and its GO descendants."
MMR,3,GO:0032423,TRUE,MMR regulation,"Regulation of mismatch repair and its GO descendants."
MMR,3,GO:0032300,TRUE,MMR complex,"Mismatch-repair complexes and their GO descendants."
MMR,3,GO:0030983,TRUE,Mismatch recognition,"Mismatch-specific DNA binding and its GO descendants."
FA,4,GO:0036297,TRUE,Interstrand cross-link repair,"Interstrand cross-link repair is assigned to the Fanconi-anemia pathway; descendants can also map to NER or HR."
FA,4,GO:0043240,TRUE,FA nuclear complex,"Fanconi-anemia nuclear complex and its GO descendants."
HR,5,GO:0000724,TRUE,HR-mediated DSB repair,"Double-strand break repair via homologous recombination and its GO descendants."
HR,5,GO:0000725,TRUE,Recombinational repair,"Recombinational repair and its GO descendants."
HR,5,GO:0035825,TRUE,Homologous recombination,"Homologous recombination and its GO descendants."
HR,5,GO:0010569,TRUE,HR regulation,"Regulation of homologous-recombination-mediated DSB repair and its GO descendants."
HR,5,GO:0006312,TRUE,Mitotic recombination,"Mitotic recombination uses a homologous DNA region; its GO descendants are assigned to HR."
HR,5,GO:0000019,TRUE,Mitotic recombination regulation,"Regulation of mitotic recombination and its GO descendants are assigned to HR."
HR,5,GO:0000711,FALSE,Meiotic repair synthesis,"The GO definition specifies repair synthesis using a homologous intact duplex."
HR,5,GO:0000732,FALSE,DNA strand displacement,"The GO definition describes strand displacement after recombination heteroduplex formation."
HR,5,GO:1990426,FALSE,Recombination-dependent fork processing,"Mitotic recombination-dependent replication-fork processing is assigned to HR."
HR,5,GO:0005715,FALSE,Late recombination nodule,"The late recombination nodule is a meiotic homologous-recombination structure."
HR,5,GO:0071139,TRUE,Recombination-intermediate resolution,"Resolution of DNA recombination intermediates and its GO descendants."
HR,5,GO:0042148,TRUE,DNA strand invasion,"DNA strand invasion and its regulatory descendants."
HR,5,GO:0048476,TRUE,Holliday-junction resolvase complex,"Holliday-junction resolvase complexes are assigned to HR."
HR,5,GO:0000400,TRUE,Four-way junction binding,"Four-way junction DNA binding is assigned to HR."
HR,5,GO:0009378,TRUE,Four-way junction helicase,"Four-way junction helicase activity is assigned to HR."
HR,5,GO:0000150,TRUE,DNA strand exchange,"DNA strand-exchange activity and its GO descendants are assigned to HR."
HR,5,GO:0062037,FALSE,D-loop binding,"Generic D-loop DNA binding is assigned to HR; telomeric D-loop descendants are excluded."
NHEJ,6,GO:0097680,TRUE,Classical NHEJ,"Classical nonhomologous end joining and its GO descendants."
NHEJ,6,GO:0070419,TRUE,NHEJ complex,"Nonhomologous-end-joining complexes and their GO descendants."
NHEJ,6,GO:0043564,FALSE,Ku70-Ku80 complex,"The Ku70-Ku80 complex is a classical NHEJ complex."
NHEJ,6,GO:0070418,TRUE,DNA-PK complex,"The DNA-dependent protein kinase complex is a core classical-NHEJ complex."
NHEJ,6,GO:0004677,FALSE,DNA-PK activity,"DNA-dependent protein kinase activity is assigned to classical NHEJ."
NHEJ,6,GO:0006303,FALSE,Generic nonhomologous end joining,"The generic NHEJ term is assigned to both NHEJ and AEJ without descendant expansion."
NHEJ,6,GO:2001032,TRUE,Generic NHEJ regulation,"Generic NHEJ regulation and its positive/negative descendants are assigned to both NHEJ and AEJ."
NHEJ,6,GO:0031848,TRUE,Protection from NHEJ at telomeres,"Terms that protect telomeres from generic NHEJ still denote NHEJ involvement and are assigned to both NHEJ and AEJ."
AEJ,7,GO:0097681,TRUE,Alternative end joining,"Alternative nonhomologous end joining and its GO descendants."
AEJ,7,GO:0006303,FALSE,Generic nonhomologous end joining,"The generic NHEJ term is assigned to both NHEJ and AEJ without descendant expansion."
AEJ,7,GO:2001032,TRUE,Generic NHEJ regulation,"Generic NHEJ regulation and its positive/negative descendants are assigned to both NHEJ and AEJ."
AEJ,7,GO:0031848,TRUE,Protection from NHEJ at telomeres,"Terms that protect telomeres from generic NHEJ still denote NHEJ involvement and are assigned to both NHEJ and AEJ."
