GroupID,PXD,SampleGroup,CatalogReferenceKey,ReferenceKey,GSE,SelectedGSM,Samples,AnatomicalOrCellIdentityMatch,SelectedSamplePerturbation,VehicleExposure,NoDrugOrGeneticPerturbation,StableID,GenesAfterCPMFilter,PairwiseSpearmanMin,PairwiseSpearmanMax,SourceLocalAnalysisStatus,InclusionRationale,SourceLocalResult,GroupIDs,InputFile,InputMD5,GenesInput,RowOrder,Category,Source,SampleSelection,EvidenceStatus,AssayAndUnits,Limitations,EvidenceURL,AnalysisReady,PriorSource,ReviewDate,InclusionBasis,i.SelectedSamplePerturbation,i.VehicleExposure,IncludeSourceLocalAnalysis
KLA31_01,PXD033146,pathological rotator cuff tendon,torn_tendon_nondiabetic,tendon_nondiabetic,GSE236746,GSM7574837;GSM7574838;GSM7574839,3,TRUE,none,FALSE,TRUE,Entrez,17001,0.8867407736132,0.928762038703991,CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug,Nondiabetic torn rotator-cuff tendon matches the pathological tendon material class.,source_summaries/tendon_nondiabetic_source_local.rds,KLA31_01,/Users/gzy2520/Desktop/Research/kla/.worktrees/kla31-rnaseq-20260912/audit/20260915_replicate_resolution/resolved_matrices/tendon_nondiabetic.rds,1cbdd5823418292c89d6d4ee689c91e9,39376,1,normal_tissue,GSE236746,GSM7574837;GSM7574838;GSM7574839,material_verified,human bulk RNA-seq; released transcript-level ENST FPKM; selected FASTQ retained for gene-level reprocessing,Non-diabetic torn rotator-cuff tendon only. The GEO matrix is transcript-level FPKM and must not be summed as gene FPKM; use the selected FASTQ files and one declared gene-level pipeline. Do not substitute healthy tendon.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236746,FALSE,GSE236746,2026-09-14,same anatomical tissue and sampling class; condition differences recorded separately,none,FALSE,TRUE
KLA31_07,PXD064912,human sperm,GSE40181_sperm_mRNA,sperm_GroupI,GSE65683,GSM1602978;GSM1602981;GSM1602982;GSM1602983,4,TRUE,none,FALSE,TRUE,Entrez,16941,0.647014370704538,0.817715736269137,CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug,Human sperm reference; selected source samples have no experimental perturbation.,source_summaries/sperm_GroupI_source_local.rds,KLA31_07,/Users/gzy2520/Desktop/Research/kla/.worktrees/kla31-rnaseq-20260912/audit/20260915_replicate_resolution/resolved_matrices/sperm_GroupI.rds,8d424f1bf0a960090f445d76212b2a59,39376,7,normal_tissue,GSE40181,GSM987942;GSM987943,material_verified,human bulk mRNA; RPKM; raw SRA,仅两个供体mRNA库；排除smallRNA GSM987944/45；处理表有RPKM阈值，建议原始reads重定量并检查精子纯度。,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40181,FALSE,GSE40181,2026-09-14,same anatomical tissue and sampling class; condition differences recorded separately,none,FALSE,TRUE
KLA31_13,PXD060185,MCF7,DepMap_MCF7,MCF7_DMSO7d,GSE157383,GSM4763907;GSM4763908;GSM4763909,3,TRUE,vehicle only,TRUE,TRUE,Entrez,14150,0.986704345746685,0.992954627523242,CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug; DMSO vehicle exposure recorded,"MCF7 identity matches; selected samples are DMSO vehicle controls, with no drug or genetic perturbation.",source_summaries/MCF7_DMSO7d_source_local.rds,KLA31_13,/Users/gzy2520/Desktop/Research/kla/.worktrees/kla31-rnaseq-20260912/audit/20260915_replicate_resolution/resolved_matrices/MCF7_DMSO7d.rds,86c86d4560978fca0a29bed4e3fe662d,39376,14,cancer_cells,DepMap,ACH-000019,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"MCF7身份核实；固定同一release、Model及OmicsProfiles后才能锁定表达行和是否log2(TPM+1)。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.",https://depmap.org/portal/cell_line/ACH-000019,FALSE,DepMap,2026-09-14,same anatomical tissue and sampling class; condition differences recorded separately,vehicle only,TRUE,TRUE
KLA31_14,PXD028488,HCT116,DepMap_HCT116,HCT116_control,GSE253699,GSM8026675;GSM8026676;GSM8026677,3,TRUE,none,FALSE,TRUE,Ensembl,14018,0.993534625078902,0.996583044629387,CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug,"HCT116 WT control samples; the selected samples have no FSTL3 exposure, co-culture, drug or genetic perturbation.",source_summaries/HCT116_control_source_local.rds,KLA31_14;KLA31_15;KLA31_16,/Users/gzy2520/Desktop/Research/kla/.worktrees/kla31-rnaseq-20260912/audit/20260915_replicate_resolution/resolved_matrices/HCT116_control.rds,997dfe6f5ea9e5209080af6da6add1d7,58735,15,cancer_cells,DepMap,ACH-000971,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"HCT116身份核实；与另外两组共享RNA参照，不构成三份独立转录组。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.",https://depmap.org/portal/cell_line/ACH-000971,FALSE,DepMap,2026-09-14,same anatomical tissue and sampling class; condition differences recorded separately,none,FALSE,TRUE
KLA31_15,PXD053474,HCT116,DepMap_HCT116,HCT116_control,GSE253699,GSM8026675;GSM8026676;GSM8026677,3,TRUE,none,FALSE,TRUE,Ensembl,14018,0.993534625078902,0.996583044629387,CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug,"HCT116 WT control samples; the selected samples have no FSTL3 exposure, co-culture, drug or genetic perturbation.",source_summaries/HCT116_control_source_local.rds,KLA31_14;KLA31_15;KLA31_16,/Users/gzy2520/Desktop/Research/kla/.worktrees/kla31-rnaseq-20260912/audit/20260915_replicate_resolution/resolved_matrices/HCT116_control.rds,997dfe6f5ea9e5209080af6da6add1d7,58735,16,cancer_cells,DepMap,ACH-000971,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"同一HCT116外部基线；全细胞RNA不能视为亚细胞分画匹配。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.",https://depmap.org/portal/cell_line/ACH-000971,FALSE,DepMap,2026-09-14,same anatomical tissue and sampling class; condition differences recorded separately,none,FALSE,TRUE
KLA31_16,PXD066351,HCT116 control and Roseburia co-culture,DepMap_HCT116,HCT116_control,GSE253699,GSM8026675;GSM8026676;GSM8026677,3,TRUE,none,FALSE,TRUE,Ensembl,14018,0.993534625078902,0.996583044629387,CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug,"HCT116 WT control samples; the selected samples have no FSTL3 exposure, co-culture, drug or genetic perturbation.",source_summaries/HCT116_control_source_local.rds,KLA31_14;KLA31_15;KLA31_16,/Users/gzy2520/Desktop/Research/kla/.worktrees/kla31-rnaseq-20260912/audit/20260915_replicate_resolution/resolved_matrices/HCT116_control.rds,997dfe6f5ea9e5209080af6da6add1d7,58735,17,cancer_cells,DepMap,ACH-000971,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"只代表外部基线；不能代表Roseburia共培养，蛋白组混合条件保持原状。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.",https://depmap.org/portal/cell_line/ACH-000971,FALSE,DepMap,2026-09-14,same anatomical tissue and sampling class; condition differences recorded separately,none,FALSE,TRUE
KLA31_18,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,DepMap_HepG2,HepG2_DMSO24h,GSE158552,GSM4802741;GSM4802742;GSM4802743,3,TRUE,vehicle only,TRUE,TRUE,Entrez,11073,0.978058971096916,0.984062331994742,CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug; DMSO vehicle exposure recorded,"HepG2 identity matches; selected samples are DMSO vehicle controls, with no JQ1/OTX or genetic perturbation.",source_summaries/HepG2_DMSO24h_source_local.rds,KLA31_18,/Users/gzy2520/Desktop/Research/kla/.worktrees/kla31-rnaseq-20260912/audit/20260915_replicate_resolution/resolved_matrices/HepG2_DMSO24h.rds,470c3a1f0603a206bd3a5c0801d736ae,39376,19,cancer_cells,DepMap,ACH-000739,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"修正原ACH-000657；外部亲本基线不匹配SIRT1/3 KO。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.",https://depmap.org/portal/cell_line/ACH-000739,FALSE,DepMap,2026-09-14,same anatomical tissue and sampling class; condition differences recorded separately,vehicle only,TRUE,TRUE
KLA31_20,PXD060185,MDA-MB-468,DepMap_MDAMB468,MDAMB468_DMSO7d,GSE157383,GSM4763917;GSM4763918;GSM4763919,3,TRUE,vehicle only,TRUE,TRUE,Entrez,13619,0.993562146490638,0.99433645916093,CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug; DMSO vehicle exposure recorded,"MDA-MB-468 identity matches; selected samples are DMSO vehicle controls, with no abemaciclib or genetic perturbation.",source_summaries/MDAMB468_DMSO7d_source_local.rds,KLA31_20,/Users/gzy2520/Desktop/Research/kla/.worktrees/kla31-rnaseq-20260912/audit/20260915_replicate_resolution/resolved_matrices/MDAMB468_DMSO7d.rds,c3752168d30d57cc497f6db27333bb64,39376,21,cancer_cells,DepMap,ACH-000849,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"MDA-MB-468模型ID核实；固定release及表达profile。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.",https://depmap.org/portal/cell_line/ACH-000849,FALSE,DepMap,2026-09-14,same anatomical tissue and sampling class; condition differences recorded separately,vehicle only,TRUE,TRUE
KLA31_22,PXD063266,PC-3M,GSE235595_PC3M_DMSO,PC3M_DMSO,GSE235595,GSM7506018;GSM7506019;GSM7506020,3,TRUE,vehicle only,TRUE,TRUE,Entrez,13991,0.997459942850188,0.997818924930246,CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug; DMSO vehicle exposure recorded,"PC-3M identity matches; selected samples are DMSO vehicle controls, with no KMI169 treatment.",source_summaries/PC3M_DMSO_source_local.rds,KLA31_22,/Users/gzy2520/Desktop/Research/kla/.worktrees/kla31-rnaseq-20260912/audit/20260915_replicate_resolution/resolved_matrices/PC3M_DMSO.rds,4737b1122e9bad151ba291845ce2a2f0,39376,23,cancer_cells,GSE235595,GSM7506018;GSM7506019;GSM7506020,material_verified,bulk RNA-seq; hg19; processed transcript counts indexed by RefSeq NM,"Exact PC-3M cell identity, DMSO 4-day controls. Exclude KMI169 and KMI169Ctrl. RefSeq NM must map through versioned stable identifiers to Ensembl/Entrez; not a symbol join. Matrix not yet validated.",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235595,FALSE,GSE143451,2026-09-14,same anatomical tissue and sampling class; condition differences recorded separately,vehicle only,TRUE,TRUE
KLA31_24,PXD078013,RKO WT and GSK3B KO,DepMap_RKO,RKO_DMSO,GSE318640,GSM9499692;GSM9499693;GSM9499694,3,TRUE,vehicle only,TRUE,TRUE,Ensembl,12579,0.991361821968027,0.995635096515904,CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug; DMSO vehicle exposure recorded,"RKO identity matches; selected samples are DMSO vehicle controls, with no EZA or genetic perturbation.",source_summaries/RKO_DMSO_source_local.rds,KLA31_24,/Users/gzy2520/Desktop/Research/kla/.worktrees/kla31-rnaseq-20260912/audit/20260915_replicate_resolution/resolved_matrices/RKO_DMSO.rds,baa52f80eb949b11ae6c9f023fe825b7,58735,25,cancer_cells,DepMap,ACH-000943,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"修正原ACH-000742；外部基线不能代表GSK3B KO。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.",https://depmap.org/portal/cell_line/ACH-000943,FALSE,DepMap,2026-09-14,same anatomical tissue and sampling class; condition differences recorded separately,vehicle only,TRUE,TRUE
